date,actual,predicted
2025-10-30,6840.2001953125,4511.3433
2025-10-31,6851.97021484375,4514.042
2025-11-03,6771.5498046875,4359.508
2025-11-04,6796.2900390625,4674.5283
2025-11-05,6720.31982421875,4430.9897
2025-11-06,6728.7998046875,4608.2046
2025-11-07,6832.43017578125,4649.4653
2025-11-10,6846.60986328125,4824.971
2025-11-11,6850.919921875,4724.5293
2025-11-12,6737.490234375,4785.333
2025-11-13,6734.10986328125,4390.114
2025-11-14,6672.41015625,4496.3027
2025-11-17,6617.31982421875,4954.4614
2025-11-18,6642.16015625,4951.084
2025-11-19,6538.759765625,4760.9336
2025-11-20,6602.990234375,4490.3115
2025-11-21,6705.1201171875,4685.7866
2025-11-24,6765.8798828125,4659.02
2025-11-25,6812.60986328125,4687.7817
2025-11-26,6849.08984375,4823.232
2025-11-28,6812.6298828125,4607.1484
2025-12-01,6829.3701171875,4723.178
2025-12-02,6849.72021484375,4616.6265
2025-12-03,6857.1201171875,4474.8877
2025-12-04,6870.39990234375,4454.775
2025-12-05,6846.509765625,4438.7646
2025-12-08,6840.509765625,4510.781
2025-12-09,6886.68017578125,4629.786
2025-12-10,6901.0,4515.863
2025-12-11,6827.41015625,4535.115
2025-12-12,6816.509765625,4413.7173
2025-12-15,6800.259765625,4529.728
2025-12-16,6721.43017578125,4701.8228
2025-12-17,6774.759765625,4830.341
2025-12-18,6834.5,5190.8735
2025-12-19,6878.490234375,4864.162
2025-12-22,6909.7900390625,4461.0127
2025-12-23,6932.0498046875,4351.759
2025-12-24,6929.93994140625,4283.1836
2025-12-26,6905.740234375,4314.7603
2025-12-29,6896.240234375,4312.369
2025-12-30,6845.5,4370.9688
2025-12-31,6858.47021484375,4429.0854
2026-01-02,6902.0498046875,4439.447
2026-01-05,6944.81982421875,4401.4565
2026-01-06,6920.93017578125,4356.45
2026-01-07,6921.4599609375,4249.762
2026-01-08,6966.27978515625,4485.8325
2026-01-09,6977.27001953125,4399.2856
2026-01-12,6963.740234375,4407.9565
2026-01-13,6926.60009765625,4444.7627
2026-01-14,6944.47021484375,4465.171
2026-01-15,6940.009765625,4490.749
2026-01-16,6796.85986328125,4580.364
2026-01-20,6875.6201171875,4476.3604
2026-01-21,6913.35009765625,4297.4854
2026-01-22,6915.60986328125,4352.8057
2026-01-23,6950.22998046875,4133.574
2026-01-26,6978.60009765625,4357.2524
2026-01-27,6978.02978515625,4347.0537
2026-01-28,6969.009765625,4336.9136
2026-01-29,6939.02978515625,4222.0312
2026-01-30,6976.43994140625,4022.9082
2026-02-02,6917.81005859375,4103.592
2026-02-03,6882.72021484375,4149.2896
2026-02-04,6798.39990234375,3921.218
2026-02-05,6932.2998046875,4026.0188
2026-02-06,6964.81982421875,4314.418
2026-02-09,6941.81005859375,4284.662
2026-02-10,6941.47021484375,4471.908
2026-02-11,6832.759765625,4325.1987
2026-02-12,6836.169921875,4016.0942
2026-02-13,6843.22021484375,3842.268
2026-02-17,6881.31005859375,3957.6328
2026-02-18,6861.89013671875,3825.9817
2026-02-19,6909.509765625,3893.0955
2026-02-20,6837.75,3956.353
2026-02-23,6890.06982421875,3709.9358
2026-02-24,6946.1298828125,3778.6257
2026-02-25,6908.85986328125,3816.3657
2026-02-26,6878.8798828125,3922.8333
2026-02-27,6881.6201171875,3635.8171
2026-03-02,6816.6298828125,3677.2175
2026-03-03,6869.5,3934.1956
2026-03-04,6830.7099609375,3699.5044
2026-03-05,6740.02001953125,3608.9019
2026-03-06,6795.990234375,3346.4785
2026-03-09,6781.47998046875,3065.3525
2026-03-10,6775.7998046875,3182.0051
2026-03-11,6672.6201171875,3185.279
2026-03-12,6632.18994140625,3349.386
2026-03-13,6699.3798828125,3155.4343
2026-03-16,6716.08984375,3288.493
2026-03-17,6624.7001953125,3355.2832
2026-03-18,6606.490234375,3450.6245
2026-03-19,6506.47998046875,3397.9714
2026-03-20,6581.0,3500.7375
2026-03-23,6556.3701171875,3382.5984
2026-03-24,6591.89990234375,3479.0361
2026-03-25,6477.16015625,3685.0366
2026-03-26,6368.85009765625,3825.9343
2026-03-27,6343.72021484375,4214.76
2026-03-30,6528.52001953125,4119.201
2026-03-31,6575.31982421875,3762.9731
2026-04-01,6582.68994140625,3502.9668
2026-04-02,6611.830078125,3355.4375
2026-04-06,6616.85009765625,3666.7942
2026-04-07,6782.81005859375,3757.6428
2026-04-08,6824.66015625,3679.2786
2026-04-09,6816.89013671875,3418.0122
2026-04-10,6886.240234375,3579.4062
2026-04-13,6967.3798828125,4064.347
2026-04-14,7022.9501953125,4337.5483
2026-04-15,7041.27978515625,3748.6184
2026-04-16,7126.06005859375,3587.9446
2026-04-17,7109.14013671875,4003.9688
2026-04-20,7064.009765625,4057.7224
2026-04-21,7137.89990234375,3920.5012
2026-04-22,7108.39990234375,3945.8718
2026-04-23,7165.080078125,4140.966
2026-04-24,7173.91015625,4435.385
2026-04-27,7138.7998046875,4262.849
2026-04-28,7135.9501953125,4227.337
2026-04-29,7209.009765625,4003.8457
2026-04-30,7230.1201171875,4048.1738
2026-05-01,7200.75,4103.526
